id,name,phone,address,category_alias,category_title,rating,review_count,lat,lon
__4rPIbNWudQVuoaRs2MuQ,Best Shawarma,18185507577,"602 W Glenoaks Blvd  Glendale, CA 91202","mideastern, bbq, armenian, ","Middle Eastern, Barbeque, Armenian, ",4,349,34.1594551,-118.2671725
__6hsNl6ibtI6OE5NQQiPw,Taco Bell,15624987283,"2500 E Pacific Coast Hwy  Long Beach, CA 90804","hotdogs, mexican, ","Fast Food, Mexican, ",2,89,33.789873,-118.162498
__cvgBooF6k2Ra0nA14NGg,Bottlefish,13109549495,"11677 San Vicente Blvd  Ste 200  Los Angeles, CA 90049","bars, seafood, ","Bars, Seafood, ",4.5,274,34.0540004,-118.4647585
__D9TH9-JRh_7CvWJcPZcQ,Baby Lobster,12137470605,"1001 Maple Ave  Ste 201  Los Angeles, CA 90015","seafood, mexican, ","Seafood, Mexican, ",3,49,34.038311,-118.2542496
__GK0tVl6Dygt6BVn2TFrA,China Star Express,15624935962,"1785 Palo Verde Ave  Long Beach, CA 90815","chinese, hotdogs, ","Chinese, Fast Food, ",3.5,209,33.788383,-118.1080549
__MKN_6UL5XLSF5BQmW1QQ,casa del tarasco,13236297868,"56th st  Los Angeles, CA 90011","mexican, foodstands, ","Mexican, Food Stands, ",5,3,33.99154,-118.265815
__s6XiQE1i2vWyzowRxhMQ,Heartfulmade,17147323084,"2009 W Commonwealth Ave  Unit.  C  Fullerton, CA 92833","korean, ","Korean, ",4.5,26,33.87101,-117.96637
__sH8x4w9v2sCbZlhpjjQg,Clemen's Restaurant,13237342725,"3551 S Western Ave  Los Angeles, CA 90018","salvadoran, ","Salvadoran, ",4,13,34.02345,-118.30917
__T8wnlRk82K7PMG3OYL7A,Slasher Pizza,,"1466 Glendale Blvd  Los Angeles, CA 90026","pizza, ","Pizza, ",5,1,34.081632,-118.259825
__tCbj-ZjPiz7y2hWhsjVg,Sabrosada,17148176932,"1770 S Harbor Blvd  Ste 128  Anaheim, CA 92825","mexican, ","Mexican, ",3.5,446,33.80392316,-117.9146859
__Y-6qeCR98is7ZLEf9RNg,Ramen Izakaya Ajido,13105341698,"1730 W Sepulveda Blvd  Ste 6  Torrance, CA 90501","ramen, ","Ramen, ",4,312,33.8163012,-118.3095359
_-c9BiP_P6jASrqXtDTftA,Yaya's Burgers No 2,13235812383,"3202 E Gage Ave  Huntington Park, CA 90255","mexican, ","Mexican, ",4,101,33.980243,-118.210273
_-jI35IyXFN4f_PENuaGig,Tortilla Republic,13106579888,"616 N Robertson Blvd  West Hollywood, CA 90069","mexican, breakfast_brunch, cocktailbars, ","Mexican, Breakfast & Brunch, Cocktail Bars, ",4,948,34.081413,-118.385258
_-ZB9fGspPGFhkmMGXS5OQ,veSTATION,18187848388,"14435 Ventura Blvd  Sherman Oaks, CA 91423","vegan, asianfusion, ","Vegan, Asian Fusion, ",4.5,919,34.15154266,-118.448143
_04Znbc9JutXtH6JJUh8MQ,Chef Chen,13238370786,"137 N Montebello Blvd  Montebello, CA 90640","chinese, ","Chinese, ",4.5,182,34.0116219,-118.1079861
_06fGyjWYRDBSdfc-M63Qw,Charcoal Venice,13107516794,"425 Washington Blvd  Marina Del Rey, CA 90292","newamerican, breakfast_brunch, wine_bars, ","American (New), Breakfast & Brunch, Wine Bars, ",4,504,33.98171,-118.46299
_0EORKOPsY5OlliTxOIxZw,Perfect Pita,13234627879,"6319 Hollywood Blvd  Los Angeles, CA 90028","mediterranean, ","Mediterranean, ",4.5,170,34.10196686,-118.3275146
_0i6Kzr3TMmL_SYo77faSQ,Taj Mahal of India Restaurant,13106528598,"8566 W Pico Blvd  Los Angeles, CA 90035","indpak, ","Indian, ",4,544,34.05334,-118.37772
_0yhEPWiDAJQs_rb4MpwRw,Little Mexico Chiquito,13235851819,"3823 E Slauson Ave  Maywood, CA 90270","mexican, ","Mexican, ",4,117,33.9883203,-118.1958934
_1aQwjXmDLgfqQ3uHurKjg,Hail Mary Pizza,13232848879,"3219 Glendale Blvd  Los Angeles, CA 90039","pizza, ","Pizza, ",4,156,34.11848006,-118.2609099
_1qQxxTSu4zOYL95RtqpSA,El Atacor No 1B,13232218017,"1625 E Cesar E Chavez Ave  Los Angeles, CA 90033","mexican, ","Mexican, ",2.5,4,34.0514859,-118.2179234
_1yBwS4V57ZmYgoB9s5ing,Normandie Bakery,13239395528,"3022 S Cochran Ave  Los Angeles, CA 90016","bakeries, french, desserts, ","Bakeries, French, Desserts, ",3.5,178,34.025856,-118.360862
_22qBbYQFdL7nCTnTSY6Rg,SHU Sushi House Unico,13104742740,"2932 1/2 Beverly Glen Cir  Los Angeles, CA 90077","sushi, ","Sushi Bars, ",4,206,34.1273967,-118.4443909
_25TQRWitzCR9dVlUngfew,Frozen Land,13108248191,"10911 Lindbrook Dr  Los Angeles, CA 90024","icecream, gelato, waffles, ","Ice Cream & Frozen Yogurt, Gelato, Waffles, ",4,16,34.059708,-118.4451
