ZIP Code,Postal City 1,Postal City 2,Postal City 3,Not Acceptable 1,Not Acceptable 2,Not Acceptable 3,Location
90001,Los Angeles,,,,,,"90001(33.973274047000075, -118.24896959899996)"
90002,Los Angeles,,,,,,"90002(33.94895070600006, -118.24697958699994)"
90003,Los Angeles,,,,,,"90003(33.963350054000045, -118.27393600099998)"
90004,Los Angeles,,,,,,"90004(34.075720587000035, -118.30301712299996)"
90005,Los Angeles,,,,,,"90005(34.05907052600003, -118.30301712299996)"
90006,Los Angeles,,,Pico Heights,,,"90006(34.05010243400005, -118.29268904499997)"
90007,Los Angeles,,,,,,"90007(34.02833395700003, -118.28507659499996)"
90008,Los Angeles,View Park,,Crenshaw,,,"90008(34.01097131500006, -118.34158773599995)"
90009,Los Angeles,,,Lax,,,"90009(33.954881639000064, -118.38576775199999)"
90010,Los Angeles,,,Sanford,,,"90010(34.06139075900006, -118.30969974099997)"
90011,Los Angeles,,,,,,"90011(34.007903741000064, -118.259036977)"
90012,Los Angeles,,,Federal,,,"90012(34.05948330100006, -118.24204800499996)"
90013,Los Angeles,,,Federal,,,"90013(34.04602247400004, -118.24624962599995)"
90014,Los Angeles,,,,,,"90014(34.04475373200006, -118.25273671899998)"
90015,Los Angeles,,,,,,"90015(34.04012195700005, -118.26498963499995)"
90016,Los Angeles,,,West Adams,,,"90016(34.028881427000044, -118.35308896599997)"
90017,Los Angeles,,,Foy,,,"90017(34.05230100700004, -118.26338632699998)"
90018,Los Angeles,,,Cimarron,Dockweiler,,"90018(34.030771505000075, -118.31686899999994)"
90019,Los Angeles,,,Rimpau,,,"90019(34.04884238300008, -118.33610868499994)"
90020,Los Angeles,,,Sanford,,,"90020(34.06636144500004, -118.30164844599994)"
90021,Los Angeles,,,Market,,,"90021(34.030124099000034, -118.24177861499999)"
90022,Los Angeles,East Los Angeles,Commerce,,,,"90022(34.02358052100004, -118.15511747999994)"
90023,Los Angeles,Commerce,,Lugo,,,"90023(34.02418013100004, -118.20195663999999)"
90024,Los Angeles,,,Village,,,"90024(34.06136034300005, -118.44023674099998)"
90025,Los Angeles,,,,,,"90025(34.045183888000054, -118.45025632399995)"
90026,Los Angeles,,,Echo Park,Edendale,Silver Lake,"90026(34.07687201300007, -118.26535895999996)"
90027,Los Angeles,,,Hollywood,Los Feliz,,"90027(34.10546214900006, -118.29236751399998)"
90028,Los Angeles,Hollywood,,,,,"90028(34.10072174800007, -118.32821815499994)"
90029,Los Angeles,,,Vermont,,,"90029(34.08989399500007, -118.29490934199998)"
90031,Los Angeles,,,,,,"90031(34.077523764000034, -118.21310592399999)"
90032,Los Angeles,,,,,,"90032(34.081512479000025, -118.17678602299998)"
90033,Los Angeles,,,Boyle Heights,,,"90033(34.048564302000045, -118.21151999699998)"
90034,Los Angeles,,,Palms,,,"90034(34.028290507000065, -118.40269589399998)"
90035,Los Angeles,,,Preuss,,,"90035(34.054282330000035, -118.38385594999994)"
90036,Los Angeles,,,Miracle Mile,Wilshire-La Brea,Farmer Market,"90036(34.06892065300008, -118.35080783799998)"
90037,Los Angeles,,,Green,,,"90037(34.00349356000004, -118.28709702299994)"
90038,Los Angeles,West Hollywood,,Hollywood,,,"90038(34.088981543000045, -118.32483773999996)"
90039,Los Angeles,,,Griffith,,,"90039(34.11160164200004, -118.26125727499999)"
